City_ID,City,Country,Date,Lat,Lng,Lng,Lng,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
205,Novorzhev,RU,2021-06-06 23:28:30,57.0294,29.3338,29.3338,29.3338,29.3338,55.89,93,19,4.54
206,Moss Point,US,2021-06-06 23:27:14,30.4116,-88.5345,-88.5345,-88.5345,-88.5345,80.65,99,90,0.0
207,Cockburn Town,TC,2021-06-06 23:24:58,21.4612,-71.1419,-71.1419,-71.1419,-71.1419,79.97,80,18,21.99
208,Trier,DE,2021-06-06 23:28:31,49.7557,6.6394,6.6394,6.6394,6.6394,61.63,94,52,3.13
209,Olafsvik,IS,2021-06-06 23:24:44,64.8945,-23.7142,-23.7142,-23.7142,-23.7142,47.1,88,100,3.78
210,Tairua,NZ,2021-06-06 23:28:31,-37.0167,175.85,175.85,175.85,175.85,62.1,90,100,20.89
211,Qinzhou,CN,2021-06-06 23:28:32,21.95,108.6167,108.6167,108.6167,108.6167,77.07,76,4,3.85
212,Rocha,UY,2021-06-06 23:28:32,-34.4833,-54.3333,-54.3333,-54.3333,-54.3333,46.24,91,43,3.78
213,Kudahuvadhoo,MV,2021-06-06 23:28:32,2.6708,72.8944,72.8944,72.8944,72.8944,82.9,75,45,14.81
214,Taltal,CL,2021-06-06 23:28:33,-25.4,-70.4833,-70.4833,-70.4833,-70.4833,61.14,78,20,5.79
215,Badou,TG,2021-06-06 23:28:33,7.5833,0.6,0.6,0.6,0.6,72.84,92,46,4.16
